"Name","Team","G","HR","ISO","SLG","FB%","HR/FB","Hard%","playerid"
"Bryce Harper","PHI","141","35",".305",".615","37.3%","26.7%","43.3%","11579"
"Juan Soto","WSN","151","29",".221",".534","28.7%","24.4%","39.1%","20123"
"Vladimir Guerrero Jr.","TOR","161","48",".290",".601","36.5%","26.5%","41.7%","19611"
"Fernando Tatis Jr.","SDP","130","42",".328",".611","39.9%","32.1%","48.0%","19709"
"Shohei Ohtani","LAA","158","46",".335",".592","40.6%","32.9%","45.1%","19755"
"Joey Votto","CIN","129","36",".297",".563","41.8%","26.5%","44.9%","4314"
"Nick Castellanos","CIN","138","34",".267",".576","35.8%","22.8%","40.4%","11737"
"Aaron Judge","NYY","148","39",".256",".544","35.5%","27.7%","46.9%","15640"
"Trea Turner","- - -","148","28",".208",".536","33.7%","17.0%","35.0%","16252"
"Bryan Reynolds","PIT","159","24",".220",".522","35.5%","15.3%","34.5%","19326"
"Tyler O'Neill","STL","138","34",".274",".560","40.9%","26.2%","42.8%","15711"
"C.J. Cron","COL","142","28",".249",".530","42.0%","18.7%","36.1%","12546"
"Kyle Tucker","HOU","140","30",".263",".557","44.4%","16.1%","39.2%","18345"
"Austin Riley","ATL","160","33",".227",".531","36.7%","20.9%","35.3%","18360"
"Freddie Freeman","ATL","159","31",".203",".503","32.5%","19.3%","38.4%","5361"
"Max Muncy","LAD","144","36",".278",".527","41.3%","23.1%","39.4%","13301"
"Matt Olson","OAK","156","39",".269",".540","43.7%","19.3%","36.3%","14344"
"Brandon Crawford","SFG","138","24",".224",".522","41.4%","15.2%","31.6%","5343"
"Paul Goldschmidt","STL","158","31",".221",".514","40.3%","16.3%","41.3%","9218"
"Rafael Devers","BOS","156","38",".259",".538","38.3%","22.1%","40.1%","17350"
"Jose Ramirez","CLE","152","36",".272",".538","45.2%","17.0%","39.8%","13510"
"Cedric Mullins II","BAL","159","30",".228",".518","41.1%","15.5%","33.2%","17929"
"Giancarlo Stanton","NYY","139","35",".243",".516","36.8%","26.7%","41.6%","4949"
"Yordan Alvarez","HOU","144","33",".253",".531","39.1%","21.4%","39.5%","19556"
"Teoscar Hernandez","TOR","143","32",".227",".524","36.1%","21.9%","36.6%","13066"
"Xander Bogaerts","BOS","144","23",".198",".493","37.4%","14.6%","35.2%","12161"
"Marcus Semien","TOR","162","45",".273",".538","48.1%","18.4%","36.0%","12533"
"Mookie Betts","LAD","122","23",".223",".487","43.4%","13.8%","41.0%","13611"
"Starling Marte","- - -","120","12",".148",".458","24.1%","13.6%","32.9%","9241"
"J.D. Martinez","BOS","148","28",".232",".518","41.9%","15.7%","38.8%","6184"
"Carlos Correa","HOU","148","26",".205",".485","34.8%","16.8%","36.5%","14162"
"Brandon Lowe","TBR","149","39",".277",".523","44.0%","24.1%","35.3%","18882"
"Yuli Gurriel","HOU","143","15",".143",".462","38.8%","8.2%","33.8%","19198"
"Jonathan India","CIN","150","21",".190",".459","33.4%","15.9%","34.1%","21523"
"Pete Alonso","NYM","152","37",".257",".519","42.9%","19.7%","37.9%","19251"
"Salvador Perez","KCR","161","48",".271",".544","40.1%","26.4%","43.8%","7304"
"Justin Turner","LAD","151","27",".193",".471","43.8%","14.0%","40.6%","5235"
"Jared Walsh","LAA","144","29",".232",".509","29.9%","25.4%","36.0%","18607"
"Jose Altuve","HOU","146","31",".211",".489","38.7%","15.8%","30.8%","5417"
"Kris Bryant","- - -","144","25",".216",".481","39.2%","16.8%","36.1%","15429"
"Jose Abreu","CHW","152","30",".219",".481","34.9%","19.9%","37.4%","15676"
"Bo Bichette","TOR","159","29",".186",".484","30.4%","18.8%","36.3%","19612"
"Ty France","SEA","152","18",".154",".445","31.4%","12.2%","33.5%","17982"
"Josh Donaldson","MIN","135","26",".228",".475","39.9%","18.6%","40.2%","5038"
"Josh Bell","WSN","144","27",".215",".476","26.5%","25.5%","37.5%","13145"
"Manny Machado","SDP","153","28",".211",".489","40.7%","14.6%","40.8%","11493"
"Randy Arozarena","TBR","141","20",".185",".459","33.1%","16.7%","32.1%","19290"
"Willy Adames","- - -","140","25",".219",".481","40.6%","18.0%","37.7%","15986"
"Jorge Polanco","MIN","152","33",".235",".503","44.8%","15.8%","33.4%","13152"
"Joey Gallo","- - -","153","38",".259",".458","50.7%","27.1%","37.8%","14128"
"Yoan Moncada","CHW","144","14",".148",".412","29.6%","13.0%","40.5%","17232"
"Michael Brantley","HOU","121","8",".126",".437","27.9%","6.9%","34.5%","4106"
"Nelson Cruz","- - -","140","32",".232",".497","38.6%","20.9%","38.1%","2434"
"Avisail Garcia","MIL","135","29",".228",".490","32.2%","26.1%","37.4%","5760"
"Tim Anderson","CHW","123","17",".159",".469","22.0%","18.9%","33.7%","15172"
"Jeimer Candelario","DET","149","16",".172",".443","34.2%","11.1%","33.4%","13621"
